"Batata", 15.65, 960
"TomCherry", 506.87, 174
"Zanahoria", 33.28, 486
"Frutilla", 291.52, 360
"Palta", 1104.47, 456
"Rabanito", 240.12, 318
"Pepino", 35.59, 415
"Caqui", 822.76, 113
"Caqui", 870.29, 114
"Acelga", 11.90, 1008
"Sandia", 52.80, 756
"Mandarina", 23.66, 900
"Lima", 998.39, 236
"Palta", 1131.95, 344
"Melon", 84.34, 392
"Lima", 1209.05, 174
"Batata", 17.99, 810
"Durazno", 161.49, 640
"Brocoli", 344.67, 424
"Champignon", 3710.67, 119
"Morron", 2926.45, 546
"Alcachofa", 117.33, 309
"Higo", 2443.34, 92
"Limon", 317.02, 777
"Lima", 1310.16, 232
"Alcachofa", 151.47, 273
"Naranja", 9.98, 1140
"Lima", 1380.95, 200
"Papa", 16.10, 1090
"Lechuga", 39.61, 963
"Kinoto", 30.69, 206
"Mandarina", 9.06, 1130
"Calabaza", 21.87, 720
"Durazno", 157.21, 728
"Higo", 2516.04, 97
"Ciruela", 941.60, 981
"Manzana", 132.82, 1060
"Durazno", 251.72, 688
"Champignon", 3664.03, 94
"Alcachofa", 125.69, 336
"Champignon", 3702.23, 101
"Repollo", 5.26, 588
"Calabaza", 23.40, 736
"Brocoli", 345.24, 328
"Higo", 2502.59, 119
"Lima", 1357.14, 194
"Ajo", 921.81, 87
"Coliflor", 29.80, 420
"Sandia", 64.92, 927
"Mandarina", 23.91, 1010
"Banana", 52.77, 1090
"Durazno", 156.16, 656
"Calabaza", 16.98, 840
"Palta", 1183.03, 464
"Acelga", 23.32, 828
"Zuccini", 81.92, 660
"TomCherry", 531.72, 216
"Mandarina", 26.27, 1030
"Acelga", 20.79, 1026
"Naranja", 8.13, 840
"Morron", 3020.80, 696
"Banana", 69.40, 1120
"Zuccini", 88.92, 624
"Mandarina", 24.28, 1180
"Frambuesa", 2051.56, 101
"Uva", 722.80, 306
"Lima", 1392.33, 198
"Papa", 14.55, 900
"Acelga", 23.74, 729
"Cebolla", 77.74, 680
"Choclo", 67.70, 324
"Tomate", 744.52, 801
"Apio", 62.12, 357
"Lechuga", 51.44, 729
"Berenjena", 69.01, 636
"TomCherry", 564.19, 216
"Zanahoria", 23.34, 498
"Choclo", 53.97, 285
"Limon", 316.50, 700
"Mandarina", 33.04, 1020
"Batata", 19.23, 1010
"Palta", 1132.09, 448
"Choclo", 56.96, 246
"Zuccini", 87.19, 498
"Lima", 1295.37, 230
